time_s,macro_energy,micro_energy_mean,micro_energy_std
0.25,-24.08375388564326,-20.0,0.0
5.25,-505.75883159850844,-420.0,0.0
10.25,-987.4339093113737,-820.0,0.0
15.25,-1469.1089870242388,-1220.0,0.0
20.25,-1950.784064737104,-1620.0,0.0
25.25,-2432.459142449969,-2020.0,0.0
30.25,-2914.1342201628345,-2420.0,0.0
35.25,-3391.439470133347,-2820.0,0.0
40.25,-3844.8208207978832,-3220.0,0.0
45.25,-4271.9236564359835,-3416.85,609.4499999999999
50.25,-4673.015222135871,-3812.35,622.9499999999999
55.25,-5048.690614986187,-4207.85,636.4500000000002
60.25,-5400.33652475087,-4400.2,840.1424938663679
65.25,-5729.343118704705,-4385.35,1023.3269528845607
70.25,-6036.920225876061,-4162.625,956.4997860036352
75.25,-6324.099920961327,-4531.125,977.070220416629
80.25,-6591.747257564854,-4697.6,1268.5184281278694
85.25,-6840.573582781061,-5061.6,1295.4643771636486
90.25,-7071.070990305205,-5022.225,1370.6687074654474
95.25,-7283.421443091895,-4977.0,1814.8508995231537
100.25,-7477.459677692812,-5125.7,1649.6643438893866
105.25,-7652.725766893808,-4262.25,1956.7071798048885
110.25,-7808.62315783956,-3572.25,2160.0505665377373
115.25,-7940.957918941742,-3662.45,2038.1504507763893
120.25,-7974.157357793862,-3545.875,1775.850462630511
125.25,-7962.328688475157,-3598.025,1782.8589661341696
130.25,-7898.588703457617,-3662.325,1794.5757961493296
135.25,-7842.334514396379,-3729.325,1805.5891664841702
140.25,-7776.776918267751,-3856.175,1837.9796620542352
145.25,-7668.915249293392,-3998.325,1878.1850050314533
150.25,-7521.684514547273,-4141.825,1921.7891762951003
155.25,-7345.909931922448,-4285.325,1967.9377183043675
160.25,-7146.385061487508,-4431.975,2010.609887105154
165.25,-6924.202033046073,-4580.875,2051.4954918607546
170.25,-6680.837497121126,-4330.9,2345.2049356079738
175.25,-6417.2677408987565,-4475.075,2384.90718648022
180.25,-6134.331795760444,-4470.775,2333.6266208682573
185.25,-5833.165597514359,-3861.75,2198.067293100919
190.25,-5515.195317403994,-3846.425,2122.5142079913153
195.25,-5185.709455690598,-3832.45,2106.848478177774
200.25,-4910.540876637946,-3612.85,2370.0379722696425
205.25,-4626.015604183453,-3594.15,2404.537970692083
210.25,-4336.8260467183345,-2974.55,1898.121666279588
215.25,-4103.471902963787,-2745.05,2274.816860210949
220.25,-3959.557472901948,-2547.05,2216.7663042143163
225.25,-3895.066100197644,-1745.9,2319.484595766913
230.25,-3757.498634584287,-1536.2,2052.677147653766
235.25,-3550.6162326768526,-1529.425,1771.1717521530768
240.25,-3346.8182812126356,-1116.125,1879.9282740639335
245.25,-3137.491923834836,-909.575,1899.966174205478
250.25,-2928.862108490424,-1113.825,1895.8294723220756
255.25,-2727.1220519193243,-1116.275,1901.2385254420342
260.25,-2531.5412585661875,-1108.15,1821.3135308068186
265.25,-2341.423139357202,-1099.125,2015.1857831537518
270.25,-2156.872338245908,-687.85,1620.341820419383
275.25,-1978.1680960485796,-284.9,1711.9437169486619
280.25,-1805.5385657521078,270.8,1923.3531455507593
285.25,-1639.248330604169,628.075,1886.7094968820716
290.25,-1479.4746989000805,985.8,1854.7486952414874
295.25,-1325.795943061947,947.35,2096.997395682694
300.25,-1176.1912471925746,1305.075,2305.2613600468385
