time_s,rest_time_s,energy,food_items,searching,grabbing,deposit,homing,resting,avoidance,gamma_f,gamma_r,gamma_l,entered_deposit,completed_deposit
0.25,80.0,-20.0,0.01,7.931228091458012,0.0,0.0,0.0,0.0,0.06877190854198822,0.0,0.008596488567748528,0.0,0.0,0.0
5.25,80.0,-420.0,0.21000000000000005,7.446715648172057,0.0385271626097212,0.0,0.0,0.0,0.5147571892182202,0.0005882357013211603,0.008596488567748528,0.02127717391304348,0.0,0.0
10.25,80.0,-820.0,0.4100000000000002,7.359869088319862,0.12535758654113144,0.0,0.0,0.0,0.5147733251390035,0.0011761253814021044,0.008596488567748528,0.021277173913043478,0.0,0.0
15.25,80.0,-1220.0,0.6100000000000003,7.248634917058391,0.23659175858804354,0.0,0.0,0.0,0.5147733243535643,0.0017636692437846824,0.008596488567748528,0.021277173913043478,0.0,0.0
20.25,80.0,-1620.0,0.8081924313888614,7.126464223101765,0.35700532006982877,0.0018075686111389887,0.0,0.0,0.5147228882172661,0.002346436795197415,0.008596488567748528,0.02127571913568158,0.00029803051124674385,0.0
25.25,80.0,-2020.0,0.9965890581441228,7.000350285267951,0.47211733042158477,0.013410941855877658,0.0,0.0,0.5141214424545845,0.0029008237871958054,0.008596488567748528,0.021265035552289414,0.0008330981851539436,0.0
30.25,80.0,-2420.0,1.1744486734019555,6.873129839823748,0.5784809665091352,0.03555132659804505,0.0,0.0,0.5128378670690699,0.0034239617984551662,0.008596488567748528,0.02124408003295916,0.0013520719417925106,0.0
35.25,80.0,-2816.371140675908,1.3421157106430912,6.746053297332687,0.6752220781179391,0.06607672074577059,0.0,0.0018075686111389889,0.510840335192461,0.003916903832372087,0.008594642738979363,0.021213020658921732,0.0018531644139214765,0.00029803051124674385
40.25,80.0,-3192.8750302417325,1.500062130950248,6.619990625662796,0.7624410919837976,0.0965269271938753,0.0,0.01341094185587766,0.5076304133036498,0.004381033752223096,0.00858110856231964,0.021172067306431952,0.002321651435606555,0.0008330981851539436
45.25,80.0,-3547.5563126249604,1.6490742995228795,6.49499498281361,0.840949934961841,0.1253743738790765,0.0,0.035551326598045045,0.5031293817474216,0.004818669957730726,0.008554669655902791,0.021121690152728877,0.002749325352436088,0.0013520719417925106
50.25,80.0,-3880.6369175874497,1.7899220619982843,6.370871991607148,0.9116229357618628,0.15219364864480758,0.0,0.06788428935690959,0.49742713462926513,0.005232113412723893,0.00851574400099564,0.02106231958304544,0.0031406757506891973,0.0018531644139214765
55.25,80.0,-4192.611034773776,1.9232840380728793,6.247416367915764,0.9752513558852778,0.1767780928773694,0.0,0.10993786904975295,0.490616314271828,0.005623392646946002,0.008464889299642508,0.020994268335491006,0.0035002245854874933,0.002321651435606555
60.25,80.0,-4484.63022034958,2.0497507218601787,6.1244253187184325,1.0325185683599807,0.19932357766269973,0.0,0.1609257004771215,0.4828068347817557,0.0059942731053252984,0.008403055414965332,0.02091773762602405,0.003832271771511473,0.002749325352436088
65.25,80.0,-4757.848918328355,2.169830863208463,6.001723151692154,1.0840006429789777,0.22009119878981528,0.0,0.22007793800171715,0.4741070685373284,0.006346275955927072,0.008331187385674732,0.020832210731093394,0.004140644474961591,0.0031406757506891973
70.25,80.0,-5013.271813473208,2.283958734680031,5.879003013780212,1.1303410030003884,0.23932530339283822,0.0,0.2867159619271223,0.46461471789943104,0.006680701835510727,0.00825011865208325,0.020717055819772554,0.004429299329651403,0.0035002245854874933
75.25,80.0,-5251.755977070693,2.3924687859857627,5.75563056554303,1.1724224823954037,0.2572819358744033,0.0,0.36024927813982127,0.45441573804733376,0.006998563057380669,0.008160574578577107,0.020552045191998266,0.004704249757189046,0.003832271771511473
80.25,80.0,-5474.019780192412,2.495560569481299,5.631055833651086,1.2109222684424217,0.274270293727152,0.0,0.44016913679153247,0.44358246738779933,0.007300479270509808,0.008063179974979184,0.02033532590274106,0.004972689981118185,0.004140644474961591
85.25,80.0,-5680.653950594342,2.5932865418079984,5.504927450888225,1.2461855627343665,0.290672192872021,0.0,0.5260412653199605,0.4321735281854192,0.007586639349652868,0.007958468731436574,0.02007032811309461,0.005241891963012754,0.004429299329651403
90.25,80.0,-5872.067140264535,2.685577042721476,5.37704017047139,1.2783027000960905,0.3068917432642744,0.0,0.6175312140142245,0.4202341721540117,0.007856866770052484,0.007846855157993438,0.019761891306038122,0.0055163896202310055,0.004704249757189046
95.25,80.0,-6048.410457668451,2.7723079471384966,5.247276515966057,1.3072329788660937,0.32325262234278973,0.0,0.7144394305186845,0.40779845230636724,0.008110816449557023,0.007728589953602372,0.0194148319212678,0.00579761050378852,0.004972689981118185
100.25,80.0,-6209.546662200575,2.8533229013206265,3.905279406715405,1.316915026882637,0.3399636404873585,1.3025339239690257,0.8167134581919815,0.3185945437535851,0.008348102035461769,0.00760374385054885,0.015901449355354685,0.0061052098195658235,0.005241891963012754
105.25,80.0,-6355.093814055067,2.9236595750926764,3.8506201367460284,1.2517751747993255,0.3619174676287866,1.3036439359000713,0.9244229572784989,0.3076203276472821,0.008555435718329174,0.007472234643259967,0.015256673218139626,0.006841899923659926,0.0055163896202310055
110.25,80.0,-6484.556514667271,2.9780791774028805,3.7502183724044076,1.2143023091984617,0.3942287697356025,1.309472977075051,1.0376920528614744,0.2940855187249954,0.008716645007697532,0.007333909464420585,0.014565386562074229,0.0076946297581175225,0.00579761050378852
115.25,80.0,-6594.4519750930385,3.0139982878422287,3.627438447582551,1.1855167017602912,0.43932461347838436,0.018645215912248447,2.457403454037227,0.27167156722929037,0.008824332462040618,0.005594198538216966,0.0138190861758123,0.00870232481586314,0.0061052098195658235
120.25,80.0,-6622.021961906357,3.056252722597988,3.5021744930701315,1.2115899036079927,0.46740685249467545,0.0346019569652574,2.576573418951479,0.2076533749104557,0.00894414386956155,0.005448454533750868,0.01305043077479885,0.0075368018299697675,0.006841899923659926
125.25,80.0,-6612.1990170491135,3.097487593927167,3.3384843518798175,1.2295642683050771,0.48059158347570075,0.04991372592218292,2.7058424730740827,0.19560359734313115,0.009066571216853392,0.005290632109759996,0.012273918977767471,0.008293101390183782,0.0076946297581175225
130.25,80.0,-6559.267081836525,3.124157951374939,3.1849184912614685,1.2308439650086893,0.4898403364672776,0.062050554016563446,2.8492965626820888,0.18305009056390473,0.00914636872792618,0.005115596313347015,0.011484716049812958,0.008995164532906644,0.00870232481586314
135.25,80.0,-6512.551616026378,3.1376698049128624,3.0375115231429985,1.2206252310036585,0.5185829176851132,0.070472855709782,2.982055301217537,0.17075217124090317,0.009187451343143138,0.00495097071638928,0.010682130362065717,0.009576472581393764,0.0075368018299697675
140.25,80.0,-6458.110272338916,3.1426367427467476,2.8947105876205437,1.204492896055147,0.5548508511804077,0.07569871522557416,3.11097340859289,0.15927354132542923,0.009202900741138498,0.004793350930222262,0.009868841192268676,0.00990951559542936,0.008293101390183782
145.25,80.0,-6368.538132143066,3.141074907474639,2.7563807757269503,1.1851033132597644,0.5830830439002866,0.07856892040370655,3.248993804521122,0.1478701421881622,0.009199273332338609,0.004624434352217044,0.009046805119851176,0.010226945624841664,0.008995164532906644
150.25,80.0,-6246.272528993977,3.133445073294312,2.6218332558598374,1.1631743338819662,0.6042247316185375,0.0797926980102463,3.394332981735063,0.13664199889434225,0.00917787534880421,0.004446337367159825,0.008215866788185866,0.010516160622623004,0.009576472581393764
155.25,80.0,-6100.303106237498,3.1203577462079437,2.4905827808553207,1.139249365043502,0.6222789965387905,0.07992350504318657,3.542199397336173,0.1257659551830204,0.009140484540468563,0.004264793842380432,0.007376522678058317,0.010776879912414479,0.00990951559542936
160.25,80.0,-5934.610605490029,3.102206036536166,2.362419508434897,1.113425555188511,0.6388688709384608,0.07937055238381603,3.6905545700353,0.11536094301900784,0.009088286383187594,0.004082600108857859,0.006529569986695522,0.011023252574398032,0.010226945624841664
165.25,80.0,-5750.101969920653,3.079319594235585,2.237301314065849,1.0856907538421758,0.6541254790587128,0.07842410631774012,3.839025107971008,0.10543323874450677,0.009022225312646848,0.003900203870471186,0.005676683779466568,0.0112503671764277,0.010516160622623004
170.25,80.0,-5548.003462287239,3.052141676252783,2.1152977997092544,1.0560887482869175,0.6682160699551462,0.07728151368514882,3.987119963043746,0.09599590531977983,0.008943575051342023,0.0037182075303030526,0.004821834598130741,0.011452762180104494,0.010776879912414479
175.25,80.0,-5329.125825957059,3.0212224607229086,1.9966874193201034,1.0246793374512517,0.6809835758132429,0.07606430277571326,4.134523699630424,0.0870616650092563,0.008853921146257271,0.003537012359676517,0.003972579932148882,0.011625027970826764,0.011023252574398032
180.25,80.0,-5094.1658222285905,2.9872341110675023,1.881993395047906,0.9915235574352629,0.6920854831680693,0.07485109300252692,4.28090250047544,0.07864397087078683,0.008755200411874164,0.0033570175060450014,0.003141314818033757,0.011760161486001142,0.0112503671764277
185.25,80.0,-4844.066772324568,2.9510159255043757,1.7719989752495087,0.9566866892698058,0.7011257507483942,0.07369918354592105,4.425725803419766,0.07076359776659592,0.008649829883836668,0.0031788650964553744,0.0023465538232471947,0.011848509914229753,0.011452762180104494
190.25,80.0,-4580.0130192259585,2.9136298565056378,1.667734268029347,0.9202518828222334,0.7075926042172578,0.07265755861373584,4.568318955876591,0.06344473044082716,0.008540868727810014,0.003003378496034048,0.0016138325177971272,0.011877612480790197,0.011625027970826764
195.25,80.0,-4306.396320369217,2.8765224874575077,2.8603377062987816,0.8854344924915335,0.7107116236099811,0.07175501293624761,3.4053415121896524,0.06641965247379586,0.008432178257245071,0.004432202336599134,0.008427729288937915,0.011724908711253569,0.011760161486001142
200.25,80.0,-4077.886611825247,2.864213024602781,2.672834897113625,0.9108498836230418,0.6868029009015815,0.07087080492044812,3.534989334185224,0.123652179256072,0.008390250685008316,0.004271998003594901,0.0078677782812798,0.009662313577846526,0.011848509914229753
205.25,80.0,-3841.6067745494615,2.8899987547445867,2.588799712636381,0.9582113878821216,0.6236311017610386,0.06652921528006077,3.644867371896931,0.11796121054345876,0.008460309986704329,0.004135667715316815,0.007528066510342932,0.00789206003873186,0.011877612480790197
210.25,80.0,-3601.453550232127,2.948510185680708,2.5399138906449776,1.026223734156992,0.5280123017767882,0.060994922826729685,3.729838319345248,0.1150168312492558,0.008626548273544477,0.0040294992432169385,0.007423323989155655,0.006371882913242575,0.011724908711253569
215.25,80.0,-3407.6680258802485,2.9757134201803326,2.49961004855251,1.0536944320417148,0.48849960442243673,0.05459034407462148,3.7906542305473203,0.11295134036138751,0.00871698305463453,0.003953205035867935,0.007270886665573622,0.010176299439008604,0.009662313577846526
220.25,80.0,-3288.1563992914807,2.974038292807883,2.4673067373077036,1.0512114260230685,0.5159604619366911,0.050229876849402146,3.804522379540147,0.11076911834297959,0.008711664665406516,0.003932749938760582,0.007061363215824166,0.010027816082292031,0.00789206003873186
225.25,80.0,-3234.600485200572,2.9734488210204058,2.45087755866086,1.0488166112761887,0.5750613646602886,0.0472967580549748,3.766954653464925,0.11099305388275392,0.00871004083681104,0.003975962442809178,0.006952914084412685,0.010060498820865304,0.006371882913242575
230.25,80.0,-3120.3596021002313,2.9702353435100886,2.4495468313355198,1.0430559859894781,0.605478076670229,0.04532467207160791,3.744688405649484,0.1119060282836731,0.008701187447414327,0.0040070593355785444,0.006923859948205523,0.010238283878654214,0.010176299439008604
235.25,80.0,-2948.5571473086957,2.9668993410941913,2.4575916446735926,1.038441703545287,0.6071389517136763,0.04465418764799232,3.7401631519202576,0.112010360499185,0.008691080946816032,0.004011988234148611,0.00695122398242546,0.01010895422627318,0.010027816082292031
240.25,80.0,-2779.3161291253105,2.9658536148011274,2.4715016203928566,1.0370180265969622,0.6075952062192636,0.04349230298566075,3.727660811876196,0.11273203192905312,0.008687727005323054,0.004026979615463722,0.007027248335896742,0.010004683842473959,0.010060498820865304
245.25,80.0,-2605.48412737696,2.966633655958395,2.4911143819660797,1.0379276861845352,0.6036016875516802,0.041998505513237916,3.7114737247625365,0.11388401402192272,0.008689770801774688,0.00404671372622134,0.007146052425817841,0.009925417454027178,0.010238283878654214
250.25,80.0,-2432.230558738908,2.968807828275764,2.5158803957757416,1.0405566681305012,0.5980915128184152,0.04029387301388981,3.6897537896999495,0.11542376056149423,0.008695922035603765,0.004072903638493219,0.007301360769487281,0.009860382413479937,0.01010895422627318
255.25,80.0,-2264.698489171164,2.972293601248939,2.545430231733967,1.0446182439008391,0.5935600135521755,0.03843379638302864,3.6605088977588425,0.11744881667113813,0.00870589560094448,0.004108385021968641,0.007489302065951019,0.009794376939632638,0.010004683842473959
260.25,80.0,-2102.281289359364,2.9770938896846504,2.5795838591075957,1.0499605726788008,0.5895397662737321,0.03645610154328914,3.624524332451002,0.11993536794557248,0.00871970437319991,0.004152196117236162,0.007706893035756636,0.009728940627639845,0.009925417454027178
265.25,80.0,-1944.4004871291781,2.9832060699892056,2.6180280199131745,1.05648523111785,0.5856017582865455,0.0343902784765915,3.5826415918919596,0.12285312031387036,0.008737336872303603,0.004203295006722674,0.007950556045517287,0.009662815563445441,0.009860382413479937
270.25,80.0,-1791.1429825162381,2.9906620895366447,2.6603134000415163,1.064160177679636,0.5816315117122832,0.03226298372202203,3.535454829105091,0.12617709773944272,0.008758882565036874,0.004260938502996692,0.008216177955703622,0.009594802787821103,0.009794376939632638
275.25,80.0,-1642.740666958731,2.999482441408888,2.705867271884211,1.0729535012990843,0.5776114482757502,0.0301036755733852,3.4835836240974265,0.12988047887013476,0.008784406241319154,0.004324374211709947,0.008499015893563451,0.009526713965984104,0.009728940627639845
280.25,80.0,-1499.3830067566153,3.0096487449600984,2.7539540688394823,1.0828029938561952,0.5735573250290952,0.027953639403999826,3.4278086943607815,0.1339232785104378,0.00881385944772417,0.0043926522333056495,0.008793475275499653,0.009460419372043767,0.009662815563445441
285.25,80.0,-1361.2897211853265,3.021105674917963,2.8036163493639306,1.0936144673734496,0.569556414618668,0.025865619439072066,3.3690991617084025,0.13824798749646894,0.008847085991370962,0.0044645958336524405,0.009092932870208324,0.009397800608808285,0.009594802787821103
290.25,80.0,-1228.6080533168204,3.03375731447403,2.8535176162965836,1.1052533790055563,0.5657251269348449,0.023899844974243845,3.308832111400333,0.14277192138843042,0.008883812199182883,0.004538667165782662,0.009389612008309858,0.009341049426992614,0.009526713965984104
295.25,80.0,-1100.9877856726273,3.0474042081744086,2.837556751284464,1.1167362338798013,0.5622445367856758,0.0671785313148956,3.2716459529718467,0.14463799376330844,0.00892349668372816,0.004586916130482899,0.009344493379265203,0.00930408036183992,0.009460419372043767
